"Name","activation_quant_bits","weight_quant_bits","model_compression_ratio","weight_compression_ratio","activation_compression_ratio","quant_act_MB","quant_weight_MB","accuracy"
"lyric-sweep-32","8","8","3.998870073668694","4","4","20857.21969604492","2.133668899536133","0.9329"
"valiant-sweep-31","8","4","7.995481571047738","8","4","20857.21969604492","1.0671358108520508","0.5276"
"dutiful-sweep-30","8","3","10.658635416111329","10.666666666666666","4","20857.21969604492","0.8005025386810303","0.1092"
"upbeat-sweep-29","8","2","15.981936486528731","16","4","20857.21969604492","0.5338692665100098","0.1"
"autumn-sweep-28","8","8","3.998870073668694","4","4","20857.21969604492","2.133668899536133","0.8995"
"devoted-sweep-27","8","4","7.995481571047738","8","4","20857.21969604492","1.0671358108520508","0.6375"
"morning-sweep-26","8","3","10.658635416111329","10.666666666666666","4","20857.21969604492","0.8005025386810303","0.1552"
"ethereal-sweep-25","8","2","15.981936486528731","16","4","20857.21969604492","0.5338692665100098","0.1"
"resilient-sweep-24","4","8","3.998870073668694","4","8","10428.60984802246","2.133668899536133","0.1376"
"skilled-sweep-23","4","4","7.995481571047738","8","8","10428.60984802246","1.0671358108520508","0.1032"
"ethereal-sweep-22","4","3","10.658635416111329","10.666666666666666","8","10428.60984802246","0.8005025386810303","0.0995"
"neat-sweep-21","4","2","15.981936486528731","16","8","10428.60984802246","0.5338692665100098","0.1"
"volcanic-sweep-20","4","8","3.998870073668694","4","8","10428.60984802246","2.133668899536133","0.1733"
"azure-sweep-19","4","4","7.995481571047738","8","8","10428.60984802246","1.0671358108520508","0.1309"
"gentle-sweep-18","4","3","10.658635416111329","10.666666666666666","8","10428.60984802246","0.8005025386810303","0.1049"
"charmed-sweep-17","4","2","15.981936486528731","16","8","10428.60984802246","0.5338692665100098","0.103"
"crisp-sweep-16","3","8","3.998870073668694","4","10.666666666666666","7821.457386016846","2.133668899536133","0.1014"
"vague-sweep-15","3","4","7.995481571047738","8","10.666666666666666","7821.457386016846","1.0671358108520508","0.1001"
"hearty-sweep-14","3","3","10.658635416111329","10.666666666666666","10.666666666666666","7821.457386016846","0.8005025386810303","0.099"
"worthy-sweep-13","3","2","15.981936486528731","16","10.666666666666666","7821.457386016846","0.5338692665100098","0.1"
"fancy-sweep-12","3","8","3.998870073668694","4","10.666666666666666","7821.457386016846","2.133668899536133","0.0952"
"resilient-sweep-11","3","4","7.995481571047738","8","10.666666666666666","7821.457386016846","1.0671358108520508","0.0995"
"amber-sweep-10","3","3","10.658635416111329","10.666666666666666","10.666666666666666","7821.457386016846","0.8005025386810303","0.0935"
"balmy-sweep-9","3","2","15.981936486528731","16","10.666666666666666","7821.457386016846","0.5338692665100098","0.096"
"deft-sweep-8","2","8","3.998870073668694","4","16","5214.3049240112305","2.133668899536133","0.1033"
"stellar-sweep-7","2","4","7.995481571047738","8","16","5214.3049240112305","1.0671358108520508","0.1002"
"cosmic-sweep-6","2","3","10.658635416111329","10.666666666666666","16","5214.3049240112305","0.8005025386810303","0.0999"
"volcanic-sweep-5","2","2","15.981936486528731","16","16","5214.3049240112305","0.5338692665100098","0.1"
"prime-sweep-4","2","8","3.998870073668694","4","16","5214.3049240112305","2.133668899536133","0.1"
"eternal-sweep-3","2","4","7.995481571047738","8","16","5214.3049240112305","1.0671358108520508","0.0996"
"icy-sweep-2","2","3","10.658635416111329","10.666666666666666","16","5214.3049240112305","0.8005025386810303","0.0988"
"snowy-sweep-1","2","2","15.981936486528731","16","16","5214.3049240112305","0.5338692665100098","0.1001"